"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_symbol"
"ENSG00000136634.7",37.6454561227598,-0.0160613085283937,0.163993947648687,-0.0979384224764242,0.921981189906489,0.939174152660318,"IL10"
"ENSG00000138185.20",1678.67659027723,-0.300451285343022,0.0905154377450162,-3.3193374835064,0.000902313086738899,0.00178488237938016,"ENTPD1"
"ENSG00000138795.10",458.523230194915,0.825336045054124,0.122432748153272,6.74113795126852,1.5715090817036e-11,7.76373805641535e-11,"LEF1"
"ENSG00000145649.8",547.932313185836,0.0173185374932106,0.180961433719199,0.0957029193307787,0.923756522254552,0.940516758165755,"GZMA"
"ENSG00000150045.12",57.7172637618748,-1.5641539144548,0.18781891069808,-8.32798949073443,8.22268116536789e-17,6.22764765927227e-16,"KLRF1"
"ENSG00000153563.16",882.236136004831,0.030107342936381,0.174231210220942,0.172801089415622,0.862807780696717,0.891772556810766,"CD8A"
"ENSG00000163599.17",191.65621483199,1.02881871262757,0.159651108717595,6.44416891866022,1.16235571516836e-10,5.29998643520898e-10,"CTLA4"
"ENSG00000166710.21",154909.013732144,-0.831834581939897,0.108648782720065,-7.6561794905989,1.91545966091302e-14,1.20878493759336e-13,"B2M"
"ENSG00000168394.11",6358.6116315651,0.520538333084913,0.136746478442544,3.80659406379977,0.000140893720023716,0.000315755769082244,"TAP1"
"ENSG00000170458.14",4830.23235241631,-0.412502121426873,0.143699807526701,-2.87058228209684,0.00409716549342227,0.00726698754865845,"CD14"
"ENSG00000172116.23",182.98373833463,0.244411323003271,0.178299676433022,1.37078949268359,0.170440587345523,0.219030638567964,"CD8B"
"ENSG00000173372.17",11027.7826116396,-1.577056790832,0.154437037086675,-10.211648841378,1.75850793440185e-24,2.32506290150278e-23,"C1QA"
"ENSG00000177575.13",4974.8088568946,-1.20139686011714,0.171335556483243,-7.01195294646642,2.35014249815317e-12,1.25088524037958e-11,"CD163"
"ENSG00000178562.18",260.212628177438,0.526379606245219,0.147464375173488,3.56953742641873,0.000357612126526255,0.000752720274301732,"CD28"
"ENSG00000179583.19",2749.57982711995,-0.398324326907724,0.143727231245892,-2.77139080364152,0.00558173903289449,0.00966181339225052,"CIITA"
"ENSG00000180644.8",871.153284405725,-1.28915589525031,0.165124945658859,-7.80715409235407,5.84937381869284e-15,3.83858157760518e-14,"PRF1"
"ENSG00000181847.12",415.463061244339,1.17882565062974,0.154854914560911,7.61245230073761,2.68943463917033e-14,1.67892722739404e-13,"TIGIT"
"ENSG00000182578.14",4000.17238498459,-0.29338078944889,0.136948564943226,-2.14226990673846,0.0321717689686779,0.0484804137232059,"CSF1R"
"ENSG00000188389.11",177.750274917147,0.943389790369341,0.175127054028132,5.38688779757466,7.16881551164483e-08,2.44384956439986e-07,"PDCD1"
"ENSG00000189430.13",17.9060620598196,-1.10330033788207,0.194276424584578,-5.67902327954235,1.35466043876553e-08,4.99562917587792e-08,"NCR1"
"ENSG00000196126.11",43573.4395614816,-0.969947029700432,0.154720584139303,-6.26902383478038,3.63318520702042e-10,1.5797442613147e-09,"HLA-DRB1"
"ENSG00000196735.13",14089.8418102813,-0.845851911351675,0.164723095327733,-5.13499281730208,2.82154799859433e-07,8.9496247552576e-07,"HLA-DQA1"
"ENSG00000198846.6",673.980070627526,-0.547931088882115,0.163953886292391,-3.34198292747358,0.000831821768388793,0.00165491292861602,"TOX"
"ENSG00000204267.16",1920.2130760727,0.0207235127145679,0.110505639491117,0.187533530505778,0.851242336464686,0.882012973595696,"TAP2"
"ENSG00000204287.14",79207.2782119259,-1.03453673084421,0.149554009645881,-6.91747906521409,4.59751299050265e-12,2.37664323034241e-11,"HLA-DRA"
"ENSG00000204525.17",70732.4175012637,-0.378125349426419,0.118500568694344,-3.19091590523706,0.00141822553588203,0.00271582267073722,"HLA-C"
"ENSG00000206503.13",66319.8030066785,0.142794174582977,0.12097381390951,1.18037259443427,0.237852056902965,0.295379767423153,"HLA-A"
"ENSG00000213809.9",19.2311626729898,0.399102897390456,0.206259105270733,1.93495892880267,0.0529953358688171,0.0762134518667244,"KLRK1"
"ENSG00000232810.4",106.057372521276,-0.388348861559121,0.198796411849502,-1.95350035720523,0.0507603349983732,0.0732836635951032,"TNF"
"ENSG00000234745.12",96445.5110231681,-0.300242860970344,0.127177576719357,-2.36081602366815,0.0182347743516214,0.0287342823968602,"HLA-B"
