"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_symbol"
"ENSG00000163599.17",196.503978568675,0.712041686942439,0.188741995817613,3.77256626887906,0.000161577031739667,0.000311424745420301,"CTLA4"
"ENSG00000166710.21",151535.116459037,-1.15922814887919,0.136140250449034,-8.514955313037,1.66654557076254e-17,8.41947169398005e-17,"B2M"
"ENSG00000168394.11",8035.19162104206,0.356838211019887,0.146126864195186,2.44197542310391,0.0146071410034912,0.0220473219708676,"TAP1"
"ENSG00000170458.14",4828.83078246606,-0.951458969536472,0.150340346269678,-6.32870013369372,2.47235040211452e-10,7.96579569784867e-10,"CD14"
"ENSG00000172116.23",251.073928257548,-0.0803038810145026,0.214882464688574,-0.373710721956238,0.70861954743401,0.746704105878869,"CD8B"
"ENSG00000173372.17",10003.8435216757,-1.94635467857895,0.173498311681388,-11.2182917500271,3.31614125721307e-29,3.05717915097103e-28,"C1QA"
"ENSG00000177575.13",4443.82450313844,-1.98812764003394,0.202409625647845,-9.82229789552059,9.02621746039651e-23,6.06176490478391e-22,"CD163"
"ENSG00000178562.18",226.324612694788,-0.361039110783837,0.175880401879163,-2.05275350139287,0.0400964902986006,0.0564398180985946,"CD28"
"ENSG00000179583.19",1928.84231917498,-1.40619503855086,0.191563661494568,-7.34061474697139,2.1261499789298e-13,8.44020220245749e-13,"CIITA"
"ENSG00000180644.8",955.538346638451,-1.71681676833529,0.178630507369939,-9.61099418913818,7.18518265496162e-22,4.60375224945182e-21,"PRF1"
"ENSG00000181847.12",442.548442934071,0.624298632423448,0.176339431609783,3.54032349273385,0.000399636854287383,0.000737815939228522,"TIGIT"
"ENSG00000182578.14",3483.99090052228,-1.20731386384419,0.16441532941988,-7.343073593588,2.08743670031802e-13,8.29132033248603e-13,"CSF1R"
"ENSG00000188389.11",185.328809322432,0.367898569686257,0.196383410494439,1.87336887958097,0.0610174643219554,0.0833398402544142,"PDCD1"
"ENSG00000189430.13",25.6394455855977,-1.23208963728054,0.239293925710397,-5.14885462981482,2.62081896026549e-07,6.65785083276332e-07,"NCR1"
"ENSG00000196126.11",28614.9014430775,-1.94399250974305,0.179632330761168,-10.8220636090711,2.70614566158853e-27,2.26912629496769e-26,"HLA-DRB1"
"ENSG00000196735.13",10268.680865652,-1.60155902890163,0.197915634591944,-8.0921299229526,5.86303212506503e-16,2.71597505712434e-15,"HLA-DQA1"
"ENSG00000198846.6",468.518717875288,-1.33358780231405,0.190279486074425,-7.00857370296051,2.4075978754132e-12,8.90547213416816e-12,"TOX"
"ENSG00000204267.16",2271.84562539036,-0.13586967590487,0.109238319286351,-1.24379134348186,0.213576367171003,0.261002548240748,"TAP2"
"ENSG00000204287.14",55467.6642766901,-1.90646386054015,0.184612202134437,-10.3268572634859,5.32775945406171e-25,3.98507111182217e-24,"HLA-DRA"
"ENSG00000204525.17",58937.4984220327,-0.932782056819629,0.136907018459528,-6.81325228841628,9.54165902369471e-12,3.39187557623851e-11,"HLA-C"
"ENSG00000206503.13",54335.9532375809,-0.453825282127004,0.12720209737904,-3.56774999373386,0.0003600597972807,0.000668074882655091,"HLA-A"
"ENSG00000213809.9",23.3352006948236,0.15899913085049,0.176278755373794,0.901975569962116,0.367069845416789,0.422580072123826,"KLRK1"
"ENSG00000232810.4",152.924424464726,-0.477934131085336,0.246590188660316,-1.93817172403279,0.0526022752588245,0.0726367827400484,"TNF"
"ENSG00000234745.12",82634.3318707969,-0.870178240011949,0.145868657865365,-5.96549150959565,2.43898731399755e-09,7.31589532946467e-09,"HLA-B"
